Suspect Race,Unjustified Stop Rate,Unjustified Frisk Rate,Unjustified Search Rate
AMERICAN INDIAN/ALASKAN NATIVE,50.0,10.416666666666668,27.083333333333332
ASIAN / PACIFIC ISLANDER,64.64646464646464,30.473080978131485,26.99044315205931
BLACK,64.35917721518987,40.67425321629813,28.174112388506114
BLACK HISPANIC,65.76354679802955,41.736635201048315,28.7243077968405
MIDDLE EASTERN/SOUTHWEST ASIAN,72.93233082706767,33.99853015998643,23.57962575611962
WHITE,60.672975814931654,20.479521805040022,27.497426473433798
WHITE HISPANIC,65.06069802731412,38.725430654345914,29.790691395663174
